Objet,Description,Etat,Dimensions,Prix,Catégorie,Dispo,Photo
Bureau ,,Très bon,,80,Bureau,Réservé,
Ecran 1 ,,Très bon,,,Bureau,,
Ecran 2,,Correct,,,Bureau,,
Pied pour double écran,,Très bon,,,Bureau,,
Clavier Razer,,Très bon,,,Bureau,,
2 Range bureau,,Très bon,,,Bureau,,
Lampe de bureau ,,Bon,,,Bureau,,
Lampe,,Bon,,,Bureau,,
Meuble pour bureau (rehausser écran),,Très bon,,,Bureau,,
Meuble 3 tiroirs ,,Très bon,,,Bureau,,
Clic-clac,,Très bon,,30,Chambre,,
2 tables de nuits ,,Très bon,,20,Chambre,,
Lampe ,,Très bon,,,Chambre,,
2 lampes (pas les mêmes) ,,Bon,,,Chambre,,
Bac à linge sale,,Bon,,10,Chambre,,
Miroir ,,Très bon,,,Chambre,,
Pouf avec rangement vert ,,Très bon,,10,Chambre,,
Cafetière,delonghi à grains,Très bon,,,Cuisine,Réservé,
grille pain,grille pain bleu philipps,Très bon,,20,Cuisine,,
sodastream,Sodastream avec deux boutilles et bouteille de gaz ,Très bon,,20,Cuisine,,
micro onde,micro onde brandt,Bon,,20,Cuisine,,
frigo gris,Frigo candy avec compartiment congélateur ,Bon,,80,Cuisine,,
Pot en verre ,pot en verre pour condiments ,Bon,,,Cuisine,,
fourchettes,12,Bon,,,Cuisine,,
couteau,12,Très bon,,,Cuisine,,
cuillères grandes,,Très bon,,,Cuisine,,
cuillères petites,12,Correct,,,Cuisine,,
Mug,,Bon,,,Cuisine,,
Bol,,Très bon,,,Cuisine,,
assiettes plates ,rouge et blanche ,Neuf,,,Cuisine,,
assiettes creuse ,blanche et rose ,Correct,,,Cuisine,,
petites assiettes,blanches,,,,Cuisine,,
verre ,4 grand verres ,Très bon,,,Cuisine,,
Verres à pieds ,,Très bon,,,Cuisine,,
poeles et Wok ,,Neuf,,,Cuisine,,
essoreuse ,,Très bon,,,Cuisine,,
lot de plat au four,,Très bon,,,Cuisine,,
cocotte en fonte ,,Très bon,,,Cuisine,,
casserole inox,,Très bon,,,Cuisine,,
machine à raper électrique,machine à raper proline,Très bon,,10,Cuisine,,
batteur électrique,batteur moulinex 2 fouets,Bon,,10,Cuisine,,
appareil à raclette bougie,à la bougie pour 2 personnes,,,10,Cuisine,,
Hand blender,Hand blender moulinex,,,20,Cuisine,,
Bombone 3L ,,Très bon,,,Cuisine,,
Carafe,,,,,Cuisine,,
Bocaux hermétiques ,2 grands et 2 petits ,Correct,,,Cuisine,,
Saladier en babou,,,,,Cuisine,,
Caissette ,,,,,Cuisine,,
Tup,,,,,Cuisine,,
Poubelle jaune ,,,,,Cuisine,,
3 petits cadres,,,,,Déco,,
2 grands cadres ,,,,,Déco,,
Unlock ,2 jeu Unlock complets,,,10 x 2,Divers,,
2 Étendoirs,,,,,Divers,,
Aspirateur et serpi ,Aspirateur electrolux ultra silencer,,,50,Divers,,
Brosse soufflante Rowenta ,,,,,Divers,,
Machine à laver ,,,,,Divers,,
Sèche cheveux babyliss ,,,,,Divers,,
Sèche cheveux calor élite ,,,,,Divers,,
Luminaire orange ,,,,,Divers,,
2 Luminaires ,,,,,Divers,,
Meuble en acier ,Idéal pour plancha ,,,,Extérieur/Jardin,,
Jardinière,,,,,Extérieur/Jardin,,
Table et 2 chaises vertes,Table et 2 chaises jardiland vertes,,table ronde 60cm diamètre,30,Extérieur/Jardin,,
Plancha électrique + housse,Plancha électrique Arthur Martin,,,,Extérieur/Jardin,,
Caisse de rangements,,,,,Extérieur/Jardin,,
quelques outils jardin + pots ,,,,,Extérieur/Jardin,,
2 chaises pliantes,,,,,Extérieur/Jardin,,
TV,TV Phllips Ambilight,,,,Salon,Réservé,
Miroir ,Miroir rond bois + fer,,60 cm diamètre,,Salon,,"Miroir.jpg,Miroir.jpg"
Meuble TV ,"Meuble TV blanc Ikea, a 5 ans mais en bon état ",,"L=120, l=41 +3, h=54",,Salon,,
Escabeau en bois pliable,Escabeau déco Ikea en bois 3 marches,,"dimension bas=44x50, dimension haut=21x37, h=63,5
19-19-21",10,Salon,,
Lampe Champignon,Lampe Chapignon jaune moutarde,,,,Salon,,
Fauteuil,Fauteuil de salon ,,"h=40, H=74, l=60, , L=60",,Salon,,
Table basse,"Table basse de salon, conforama ",,,,Salon,,
Canapé méridienne convertible,"Canapé BUT, 4 ans, lavé et bon état ",,,200,Salon,,
Lampe de salon ,Lampe de salon très bon état ,,"h=160, diamètre pied environ 50",,Salon,,
Table à manger ,"Table de salle à manger conforama en bois clair, 6 places (8 places avec la rallonge) acheté en 2024",,"L=(160 ou 200),l=90,5,h=76,5",100,Salon,,
coffre,coffre en bois pour rangement,,"L=60,l=40,h=41,5
Profondeur max 39-40",,Salon,,
Chaises salle à manger,"4 chaises de salle à manger Sklum, 2 vertes et 2 roses ",,,2 X 80 ou 140 les 4,Salon,,
Banquette + coussin entrée,Banquette ikea,,"L=146,5, l=41, Carré =33,5
Coussin 155x42",,Salon,,
Meuble chaussure,Meuble chaussure ikea,,"h=114,5, L=50, l=24",,Salon,,
Caisse en osier x4,ikea,,"32x32x33,5",,Salon,,
Meuble chaussure,3 rangements ,,"80,5x29,5x42,5
Etagère : 40x27,5x25",,Salon,,
Coussin,"Orange, citron, blanc et bleu ",,,,Salon,,
4 chaises blanches ,,,,,Salon,,
Plaid,2 plaids blanc et vert ,,,,Salon,,
